name,light,maintenance,purpose,environment
Peace Lily,low,easy,air purification,indoor
Snake Plant,low,easy,air purification,indoor
Spider Plant,medium,easy,air purification,indoor
Aloe Vera,medium,easy,medicinal,indoor
Money Plant,low,easy,decorative,indoor
Rose,high,medium,gift,outdoor
Lavender,high,medium,gift,outdoor
Bougainvillea,high,low,decorative,outdoor
Jasmine,medium,medium,fragrance,outdoor
Tulsi,high,easy,medicinal,outdoor
Orchid,medium,high,gift,indoor
Succulent,high,easy,decorative,indoor
Bamboo Palm,low,medium,air purification,indoor
ZZ Plant,low,easy,decorative,indoor
English Ivy,medium,medium,air purification,indoor
Geranium,high,medium,fragrance,outdoor
Chrysanthemum,high,medium,gift,outdoor
Cactus,high,easy,decorative,indoor
Areca Palm,medium,medium,air purification,indoor
Croton,high,high,decorative,indoor
Pothos,low,easy,air purification,indoor
Basil,high,easy,medicinal,outdoor
Mint,medium,easy,medicinal,outdoor
Ficus,medium,medium,decorative,indoor
Marigold,high,easy,gift,outdoor
Calathea,low,medium,decorative,indoor
Coleus,medium,easy,decorative,outdoor
Daffodil,high,medium,gift,outdoor
Hibiscus,high,medium,medicinal,outdoor
Gardenia,medium,high,fragrance,outdoor
Camellia,medium,high,gift,outdoor
Fern,low,medium,air purification,indoor
Oleander,high,high,decorative,outdoor
Petunia,high,medium,decorative,outdoor
Rubber Plant,medium,medium,decorative,indoor
Begonia,medium,medium,decorative,indoor
Philodendron,low,easy,decorative,indoor
Chinese Evergreen,low,medium,air purification,indoor
Kalanchoe,high,easy,decorative,indoor
Amaryllis,high,medium,gift,indoor
Clivia,medium,medium,decorative,indoor
